"","Cruise","StationID","SAMPLE_ID","Sample_Name_Final","Location","Depth_m","BottomDepth_m_","Date_yyyy_mm_dd_","Lat_dd_ddddN_","Lon_dd_ddddE_","Transect","Month","Water","Season","Year","Distance_from_glacier","Nut_Sample_ID","Salinity_PSU","NO3_uM","NO2_uM","PO4_uM","NH3_uM","SiO4_uM","Station_SCM","Temp_C","CTD.depth","Dis_O2_Conc","Turbidity_NTU","ChlA_ug_L","N2","rho","iso.NO3_uM","d15N","d15N_stdev","d18O_mean","d18O_stdev","iso_submission_confirmation","mapping.DFG","Glacier_name","Environment.type","mapping.depth","Glacial.status","layer","layer.dfg","upwelling.3"
"1","V2108","BL1","BL1_2","Belcher_1_30_2021","Belcher Glacier",30,"145","8/21/21","75.65578","-81.33015","Belcher","August","Marine","Summer",2021,0.318,"BL1_2","31.82733467","0","0","0.4","0.02","0.95","28.762","0.940019897","30.5","381.9870197","0.854459358","2.570754774","0.000305667","1025.646942","-","-","-","-","-","yes","<3","Belcher","Strongly Tidewater-Glacier-Influenced","0-50 m","Strongly Tidewater-Glacier-Influenced","No Upwelling, 0-50m","No upwelling, upper 50m, within 5km","No upwelling"
"2","V2108","BL1","BL1_1","Belcher_1_5_2021","Belcher Glacier",5,"145","8/21/21","75.65578","-81.33015","Belcher","August","Marine","Summer",2021,0.318,"BL1_1","31.2474477","0.09","0.01","0.4","0","0.79","28.762","1.67604851","5","382.9705175","0.958994085","0.37694723","0.000182263","1025.015767","-","-","-","-","-","yes","<3","Belcher","Strongly Tidewater-Glacier-Influenced","0-50 m","Strongly Tidewater-Glacier-Influenced","No Upwelling, 0-50m","No upwelling, upper 50m, within 5km","No upwelling"
"3","V2108","BL11","BL11_2","Belcher_11_30_2021","Belcher Glacier",30,"324","8/22/21","75.66462","-81.08927","Belcher","August","Marine","Summer",2021,6.708,"BL11_2","31.71394446","0.46","0","0.47","0.19","1.48","29.841","1.238886972","30","376.7966396","0.598373875","2.527075866","0.00014913","1025.535697","-","-","-","-","-","yes","3>x<10","Belcher","Strongly Tidewater-Glacier-Influenced","0-50 m","Strongly Tidewater-Glacier-Influenced","No Upwelling, 0-50m","No upwelling, upper 50m, beyond 5km","No upwelling"
"4","V2108","BL11","BL11_3","Belcher_11_5_2021","Belcher Glacier",5,"324","8/22/21","75.66462","-81.08927","Belcher","August","Marine","Summer",2021,6.708,"BL11_3","31.18050132","0.06","0","0.41","0","0.57","29.841","1.133510763","5","381.4129525","0.682943633","0.866065285","0.000397384","1024.995214","-","-","-","-","-","yes","3>x<10","Belcher","Strongly Tidewater-Glacier-Influenced","0-50 m","Strongly Tidewater-Glacier-Influenced","No Upwelling, 0-50m","No upwelling, upper 50m, beyond 5km","No upwelling"
"5","V2108","BL13","BL13_2","Belcher_13_35_2021","Belcher Glacier",35,"289","8/22/21","75.67462","-81.02992","Belcher","August","Marine","Summer",2021,8.494,"BL13_2","31.52480294","0.68","0.01","0.51","0.14","1.82","35.87","1.42080796","35","379.4075594","0.540062089","2.125993417","0.000286671","1025.396434","-","-","-","-","-","yes","3>x<10","Belcher","Strongly Tidewater-Glacier-Influenced","0-50 m","Strongly Tidewater-Glacier-Influenced","No Upwelling, 0-50m","No upwelling, upper 50m, beyond 5km","No upwelling"
"6","V2108","BL13","BL13_3","Belcher_13_5_2021","Belcher Glacier",5,"289","8/22/21","75.67462","-81.02992","Belcher","August","Marine","Summer",2021,8.494,"BL13_3","31.14401656","0.29","0","0.41","0.07","1.39","35.87","2.060753978","5","368.2681332","0.27277758","0.385233029","0.000176555","1024.906994","-","-","-","-","-","yes","3>x<10","Belcher","Strongly Tidewater-Glacier-Influenced","0-50 m","Strongly Tidewater-Glacier-Influenced","No Upwelling, 0-50m","No upwelling, upper 50m, beyond 5km","No upwelling"
"7","V2108","BL14","BL14_2","Belcher_14_30_2021","Belcher Glacier",30,"345","8/21/21","75.68463","-80.9719","Belcher","August","Marine","Summer",2021,10.312,"BL14_2","31.75418999","0.22","0.03","0.48","0.02",NA,"32.855","1.362193021","30","386.9671716","0.572567102","3.516633236","7.48E-06","1025.560269","-","-","-","-","-","no",">10","Belcher","Strongly Tidewater-Glacier-Influenced","0-50 m","Strongly Tidewater-Glacier-Influenced","No Upwelling, 0-50m","No upwelling, upper 50m, beyond 5km","No upwelling"
"8","V2108","BL14","BL14_3","Belcher_14_5_2021","Belcher Glacier",5,"345","8/21/21","75.68463","-80.9719","Belcher","August","Marine","Summer",2021,10.312,"BL14_3","31.46046751","0","0","0.37","0.03","0.69","32.855","1.856586641","5","381.6060925","0.265880515","0.99220736","0.000120245","1025.174203","-","-","-","-","-","no",">10","Belcher","Strongly Tidewater-Glacier-Influenced","0-50 m","Strongly Tidewater-Glacier-Influenced","No Upwelling, 0-50m","No upwelling, upper 50m, beyond 5km","No upwelling"
"9","V2108","BL3","BL3_2","Belcher_3_45_2021","Belcher Glacier",45,"233","8/21/21","75.65815","-81.29533","Belcher","August","Marine","Summer",2021,1.006,"BL3_2","31.83496","0.24","0.01","0.45","0.1",NA,"43.993","1.077899621","45","380.9004869","0.531153453","2.675446389","0.000115209","1025.714085","-","-","-","-","-","yes","<3","Belcher","Strongly Tidewater-Glacier-Influenced","0-50 m","Strongly Tidewater-Glacier-Influenced","No Upwelling, 0-50m","No upwelling, upper 50m, within 5km","No upwelling"
"10","V2108","BL3","BL3_3","Belcher_3_5_2021","Belcher Glacier",5,"233","8/21/21","75.65815","-81.29533","Belcher","August","Marine","Summer",2021,1.006,"BL3_3","31.25353593","0.11","0.01","0.41","0","0.67","43.993","1.715842738","5","383.0162864","0.977264867","0.513086377","8.62E-05","1025.018047","-","-","-","-","-","yes","<3","Belcher","Strongly Tidewater-Glacier-Influenced","0-50 m","Strongly Tidewater-Glacier-Influenced","No Upwelling, 0-50m","No upwelling, upper 50m, within 5km","No upwelling"
