"ASV_ID","Domain","Phylum","Class","Order","Family","Genus","Species","Confidence","Unique.ID"
"00055ce4d2a91370b115571686ca8d5a","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","uncultured","",0.999999978,"Bacteria_Proteobacteria_Gammaproteobacteria_Gammaproteobacteria_Incertae_Sedis_Unknown_Family_uncultured"
"000fe59cac038556fc026f1aaca2704b","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilaceae","",0.999682814,"Archaea_Crenarchaeota_Nitrososphaeria_Nitrosopumilales_Nitrosopumilaceae_Nitrosopumilaceae"
"001d281d8e7e044c86918dcccda9bd87","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae","uncultured","uncultured_bacterium",0.915782983,"Bacteria_Planctomycetota_Planctomycetes_Planctomycetales_Gimesiaceae_uncultured"
"001dad2b01386f56d956535e0e3d5f45","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","","",0.99842817,"Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Comamonadaceae_"
"002ce926926fd3b1b547f163f3571a4a","Bacteria","Margulisbacteria","Margulisbacteria","Margulisbacteria","Margulisbacteria","Margulisbacteria","uncultured_bacterium",0.999934302,"Bacteria_Margulisbacteria_Margulisbacteria_Margulisbacteria_Margulisbacteria_Margulisbacteria"
"0038acbd60d63600d4fd7567f43c488d","Bacteria","Verrucomicrobiota","Lentisphaeria","SS1-B-02-17","SS1-B-02-17","SS1-B-02-17","uncultured_bacterium",0.98828552,"Bacteria_Verrucomicrobiota_Lentisphaeria_SS1-B-02-17_SS1-B-02-17_SS1-B-02-17"
"0038c4b00451d9d08ee825d19cd03f0e","Bacteria","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","metagenome",0.995149783,"Bacteria_Marinimicrobia_(SAR406_clade)_Marinimicrobia_(SAR406_clade)_Marinimicrobia_(SAR406_clade)_Marinimicrobia_(SAR406_clade)_Marinimicrobia_(SAR406_clade)"
"003cfb24a9cce9d7cc88830159ee5609","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","OM43_clade","",0.999886517,"Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Methylophilaceae_OM43_clade"
"004cee33519884c3e86389d2bd6c5c95","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Colwellia","",0.998220835,"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Colwelliaceae_Colwellia"
"004d79fccad009217326d1d8544f5d31","Bacteria","Proteobacteria","Gammaproteobacteria","","","","",1,"Bacteria_Proteobacteria_Gammaproteobacteria___"
"0053234e9c5ff69e76ffe3e2777ea3c0","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","uncultured","",0.927987726,"Bacteria_Proteobacteria_Alphaproteobacteria_SAR11_clade_Clade_I_uncultured"
"00596526da69dca3464e740b0994a69b","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Cocleimonas","",0.999998346,"Bacteria_Proteobacteria_Gammaproteobacteria_Thiotrichales_Thiotrichaceae_Cocleimonas"
"005c4209d70ac93e07915110c5dbbf7d","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Saccharospirillaceae","Saccharospirillaceae","uncultured_deep-sea",0.996280787,"Bacteria_Proteobacteria_Gammaproteobacteria_Oceanospirillales_Saccharospirillaceae_Saccharospirillaceae"
"00942dd1c8ded82c72af2239d5d89f0c","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Cocleimonas","",0.999992732,"Bacteria_Proteobacteria_Gammaproteobacteria_Thiotrichales_Thiotrichaceae_Cocleimonas"
"0096404cdd6f9fc8fadb30a6ccf195f0","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured","",0.985553064,"Bacteria_Planctomycetota_Planctomycetes_Pirellulales_Pirellulaceae_uncultured"
"00aa0138ffb07d849e8e692b790c798d","Bacteria","","","","","","",0.999999987,"Bacteria_____"
"00b89bcb0c3b0d72bc2432738adca0d2","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Polaribacter","",0.999983233,"Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Flavobacteriaceae_Polaribacter"
"00b98698a0828c700c651306c590eb01","Bacteria","Chloroflexi","JG30-KF-CM66","JG30-KF-CM66","JG30-KF-CM66","JG30-KF-CM66","",0.999999925,"Bacteria_Chloroflexi_JG30-KF-CM66_JG30-KF-CM66_JG30-KF-CM66_JG30-KF-CM66"
"00d2a6be40c50be6f7c6b932e45821c1","Bacteria","Proteobacteria","Gammaproteobacteria","Thiomicrospirales","Thioglobaceae","","",0.908487008,"Bacteria_Proteobacteria_Gammaproteobacteria_Thiomicrospirales_Thioglobaceae_"
"00d919a531f4e3490cc7e783fd9004c9","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","","",1,"Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Flavobacteriaceae_"
"00dbd38e7a85c7d7f1088655f4f19f5d","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Candidatus_Endobugula","",0.998928358,"Bacteria_Proteobacteria_Gammaproteobacteria_Cellvibrionales_Cellvibrionaceae_Candidatus_Endobugula"
