Cruise,StationID,SAMPLE_ID,Sample_Name_Final,Location,Depth_m,BottomDepth_m_,Date_yyyy_mm_dd_,Lat_dd_ddddN_,Lon_dd_ddddE_,Transect,Month,Year,Distance_from_glacier,Salinity_PSU,NO3_uM,NO2_uM,PO4_uM,NH3_uM,SiO4_uM,Temp_C,CTD.depth,Dis_O2_Conc,Turbidity_NTU,ChlA_ug_L,N2,rho,Upwelling.Classification
V2108,BL1,BL1_3,Belcher_1_250_2021,Belcher Glacier,250,145,8/21/21,75.65578,-81.33015,Belcher,August,2021,0.318,32.98991203,13.35,0.03,1.08,0,21.99,-1.006563187,144,306.3197365,4.509414673,0.311973572,9.46E-05,1027.221,Below 50m
V2108,BL1,BL1_2,Belcher_1_30_2021,Belcher Glacier,30,145,8/21/21,75.65578,-81.33015,Belcher,August,2021,0.318,31.82733467,0,0,0.4,0.02,0.95,0.940019897,30.5,381.9870197,0.854459358,2.570754774,0.000305667,1025.646942,No upwelling
V2108,BL1,BL1_1,Belcher_1_5_2021,Belcher Glacier,5,145,8/21/21,75.65578,-81.33015,Belcher,August,2021,0.318,31.2474477,0.09,0.01,0.4,0,0.79,1.67604851,5,382.9705175,0.958994085,0.37694723,0.000182263,1025.015767,No upwelling
V2108,BL11,BL11_2,Belcher_11_30_2021,Belcher Glacier,30,324,8/22/21,75.66462,-81.08927,Belcher,August,2021,6.708,31.71394446,0.46,0,0.47,0.19,1.48,1.238886972,30,376.7966396,0.598373875,2.527075866,0.00014913,1025.535697,No upwelling
V2108,BL11,BL11_1,Belcher_11_300_2021,Belcher Glacier,300,324,8/22/21,75.66462,-81.08927,Belcher,August,2021,6.708,34.1148767,14.16,0.01,1.14,0.02,24.52,-0.085438855,300,254.0893063,1.230441086,0.10274244,3.90E-06,1028.829733,Below 50m
V2108,BL11,BL11_3,Belcher_11_5_2021,Belcher Glacier,5,324,8/22/21,75.66462,-81.08927,Belcher,August,2021,6.708,31.18050132,0.06,0,0.41,0,0.57,1.133510763,5,381.4129525,0.682943633,0.866065285,0.000397384,1024.995214,No upwelling
V2108,BL13,BL13_1,Belcher_13_250_2021,Belcher Glacier,250,289,8/22/21,75.67462,-81.02992,Belcher,August,2021,8.494,33.65744974,12.1,0.05,1.1,0,18.64,-0.740943855,250,287.7881842,0.685117614,0.118950699,9.37E-05,1028.25847,Below 50m
V2108,BL13,BL13_2,Belcher_13_35_2021,Belcher Glacier,35,289,8/22/21,75.67462,-81.02992,Belcher,August,2021,8.494,31.52480294,0.68,0.01,0.51,0.14,1.82,1.42080796,35,379.4075594,0.540062089,2.125993417,0.000286671,1025.396434,No upwelling
V2108,BL13,BL13_3,Belcher_13_5_2021,Belcher Glacier,5,289,8/22/21,75.67462,-81.02992,Belcher,August,2021,8.494,31.14401656,0.29,0,0.41,0.07,1.39,2.060753978,5,368.2681332,0.27277758,0.385233029,0.000176555,1024.906994,No upwelling
V2108,BL14,BL14_2,Belcher_14_30_2021,Belcher Glacier,30,345,8/21/21,75.68463,-80.9719,Belcher,August,2021,10.312,31.75418999,0.22,0.03,0.48,0.02,NA,1.362193021,30,386.9671716,0.572567102,3.516633236,7.48E-06,1025.560269,No upwelling
