"","ASV_ID","Domain","Phylum","Class","Order","Family","Genus","Species","Confidence","Unique.ID"
"1","00055ce4d2a91370b115571686ca8d5a","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","uncultured","",0.999999978,"Bacteria_Proteobacteria_Gammaproteobacteria_Gammaproteobacteria_Incertae_Sedis_Unknown_Family_uncultured"
"2","000fe59cac038556fc026f1aaca2704b","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilaceae","",0.999682814,"Archaea_Crenarchaeota_Nitrososphaeria_Nitrosopumilales_Nitrosopumilaceae_Nitrosopumilaceae"
"3","001d281d8e7e044c86918dcccda9bd87","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae","uncultured","uncultured_bacterium",0.915782983,"Bacteria_Planctomycetota_Planctomycetes_Planctomycetales_Gimesiaceae_uncultured"
"4","001dad2b01386f56d956535e0e3d5f45","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","","",0.99842817,"Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Comamonadaceae_"
"5","003cfb24a9cce9d7cc88830159ee5609","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","OM43_clade","",0.999886517,"Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Methylophilaceae_OM43_clade"
"6","004cee33519884c3e86389d2bd6c5c95","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Colwellia","",0.998220835,"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Colwelliaceae_Colwellia"
"7","004d79fccad009217326d1d8544f5d31","Bacteria","Proteobacteria","Gammaproteobacteria","","","","",1,"Bacteria_Proteobacteria_Gammaproteobacteria___"
"8","0053234e9c5ff69e76ffe3e2777ea3c0","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","uncultured","",0.927987726,"Bacteria_Proteobacteria_Alphaproteobacteria_SAR11_clade_Clade_I_uncultured"
"9","00596526da69dca3464e740b0994a69b","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Cocleimonas","",0.999998346,"Bacteria_Proteobacteria_Gammaproteobacteria_Thiotrichales_Thiotrichaceae_Cocleimonas"
"10","00942dd1c8ded82c72af2239d5d89f0c","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Cocleimonas","",0.999992732,"Bacteria_Proteobacteria_Gammaproteobacteria_Thiotrichales_Thiotrichaceae_Cocleimonas"
"11","0096404cdd6f9fc8fadb30a6ccf195f0","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured","",0.985553064,"Bacteria_Planctomycetota_Planctomycetes_Pirellulales_Pirellulaceae_uncultured"
